filename,label
train/23777.jpg,7+5-2=10
train/68141.jpg,(1-0)+7=8
train/40060.jpg,(6-1)-9=-4
train/83557.jpg,4-(7-2)=-1
train/58621.jpg,9*(4-2)=18
train/64326.jpg,7+(1-2)=6
train/81720.jpg,7+(0+8)=15
train/57326.jpg,9-(5+6)=-2
train/2676.jpg,8*(3+8)=88
train/40938.jpg,3*7+5=26
train/88787.jpg,(6-3)-3=0
train/47542.jpg,(1-9)+1=-7
train/82428.jpg,8-(5-1)=4
train/99837.jpg,(9+4)*8=104
train/66357.jpg,2-8-4=-10
train/64202.jpg,7*(7+1)=56
train/5551.jpg,5-(3+4)=-2
train/6680.jpg,(9+9)+9=27
train/76717.jpg,4*8-9=23
train/57526.jpg,3*2+5=11
train/59219.jpg,7-0*4=7
train/82519.jpg,1*(3*6)=18
train/19959.jpg,9*(7-8)=-9
train/24057.jpg,(1*8)+8=16
train/46594.jpg,0*(7+3)=0
train/56855.jpg,1-6-7=-12
train/45779.jpg,(9-6)+6=9
train/87368.jpg,0+(7*8)=56
train/40889.jpg,(0-5)-7=-12
train/44108.jpg,4+(6-4)=6
train/85621.jpg,9*2*6=108
train/96712.jpg,6-(7-2)=1
train/10831.jpg,8+9*9=89
train/71610.jpg,1*(1*0)=0
train/51052.jpg,9-(9+3)=-3
train/46131.jpg,0-2*6=-12
train/58746.jpg,(5+1)-9=-3
train/93458.jpg,6-(7-2)=1
train/78291.jpg,2-7-7=-12
train/84460.jpg,3-0*5=3
train/38466.jpg,4*5*6=120
train/56157.jpg,2*(1-7)=-12
train/79551.jpg,5+3-8=0
train/52754.jpg,6+(6*6)=42
train/23763.jpg,3-4*3=-9
train/27028.jpg,1-0+9=10
train/31099.jpg,8+(4*2)=16
train/69938.jpg,(8+3)*5=55
train/32566.jpg,1-1-4=-4
train/72528.jpg,9*(4*4)=144
train/3868.jpg,(0*9)*7=0
train/54734.jpg,(0+3)+2=5
train/47104.jpg,2+5+6=13
train/63148.jpg,6*5+0=30
train/38658.jpg,8-1*5=3
train/14383.jpg,9-(2-5)=12
train/55558.jpg,1*0*4=0
train/35438.jpg,(5*8)+7=47
train/97510.jpg,(0+1)*7=7
train/14722.jpg,1-(4+2)=-5
train/83167.jpg,7-(8*6)=-41
train/8291.jpg,5-3*4=-7
train/88686.jpg,2*1*7=14
train/12588.jpg,3*3-5=4
train/42062.jpg,(5-6)-8=-9
train/93626.jpg,9*2+1=19
train/89579.jpg,8+(5*9)=53
train/34822.jpg,2-(4+7)=-9
train/46315.jpg,(3-1)*5=10
train/62418.jpg,3+(8-9)=2
train/62514.jpg,0*6*6=0
train/47130.jpg,1+7-4=4
train/76769.jpg,2-(3*8)=-22
train/41547.jpg,2-(5+1)=-4
train/92290.jpg,(8*5)*8=320
train/39066.jpg,5-(5-7)=7
train/89704.jpg,8-(7*7)=-41
train/83978.jpg,2+6*4=26
train/5270.jpg,(5-7)-5=-7
train/32295.jpg,1-(5-6)=2
train/60266.jpg,6+(1+5)=12
train/96155.jpg,3*6-5=13
train/38615.jpg,8*(9*4)=288
train/98867.jpg,8-(0*3)=8
train/40596.jpg,5+7*4=33
train/94995.jpg,5+8+7=20
train/39853.jpg,3-(5*6)=-27
train/20712.jpg,(5+2)+1=8
train/5758.jpg,7*8*7=392
train/74082.jpg,8*(6+4)=80
train/30092.jpg,0-2*0=0
train/12015.jpg,(4*6)*1=24
train/45988.jpg,(9*3)*2=54
train/19542.jpg,6-0*7=6
train/39148.jpg,(0*0)-2=-2
train/57821.jpg,9*(1*4)=36
train/85545.jpg,(2*8)-8=8
train/4802.jpg,(6-6)+8=8
train/82376.jpg,2-0*2=2
train/29156.jpg,(1+9)*0=0
train/48509.jpg,(6-9)-5=-8
train/58846.jpg,6+(1*8)=14
train/74043.jpg,1+3-3=1
train/60904.jpg,6-0+4=10
train/12430.jpg,0+(4*6)=24
train/36679.jpg,5*(2-7)=-25
train/82008.jpg,2*(9*3)=54
train/87711.jpg,(4-8)+6=2
train/55497.jpg,(9+4)-6=7
train/39481.jpg,4*7*9=252
train/5761.jpg,7*4-7=21
train/84802.jpg,2-9-2=-9
train/73890.jpg,4-6*5=-26
train/57251.jpg,(8-7)*9=9
train/26054.jpg,4+3+0=7
train/89326.jpg,9*(8*7)=504
train/53111.jpg,5-5-5=-5
train/91146.jpg,(1-0)+5=6
train/81045.jpg,4+(2-4)=2
