filename,label
train/0.jpg,(0+0)+9=9
train/1.jpg,9*8+6=78
train/2.jpg,1+7+0=8
train/3.jpg,5+4+9=18
train/4.jpg,7-(1*7)=0
train/5.jpg,4-1+0=3
train/6.jpg,(0*7)+0=0
train/7.jpg,(2*8)*8=128
train/8.jpg,(4+9)*4=52
train/9.jpg,3+8+8=19
train/10.jpg,(6+2)+0=8
train/11.jpg,(1*4)-8=-4
train/12.jpg,1-(0-8)=9
train/13.jpg,6+(7*2)=20
train/14.jpg,1+7*3=22
train/15.jpg,(7+2)+2=11
train/16.jpg,6*1-6=0
train/17.jpg,(6*3)*8=144
train/18.jpg,(6+5)*5=55
train/19.jpg,2-(8+0)=-6
train/20.jpg,(4-5)+9=8
train/21.jpg,8+9+8=25
train/22.jpg,4-6*5=-26
train/23.jpg,7-(8+7)=-8
train/24.jpg,3*(1+9)=30
train/25.jpg,5*9-4=41
train/26.jpg,(7*8)+3=59
train/27.jpg,(0*3)-2=-2
train/28.jpg,(9-5)*0=0
train/29.jpg,1*1*0=0
train/30.jpg,(4-5)+2=1
train/31.jpg,4-(6+3)=-5
train/32.jpg,1*2*3=6
train/33.jpg,(0*3)*0=0
train/34.jpg,8-5-6=-3
train/35.jpg,8-(1+9)=-2
train/36.jpg,1*3*5=15
train/37.jpg,3*1-9=-6
train/38.jpg,(5-2)-1=2
train/39.jpg,9+8*0=9
train/40.jpg,(7+3)+4=14
train/41.jpg,(1-8)-0=-7
train/42.jpg,7+(3-0)=10
train/43.jpg,5-(8-3)=0
train/44.jpg,(5-5)*3=0
train/45.jpg,(4-5)*3=-3
train/46.jpg,(1-8)+3=-4
train/47.jpg,7-1+5=11
train/48.jpg,3-3+3=3
train/49.jpg,(1*3)-9=-6
train/50.jpg,5-(9-6)=2
train/51.jpg,(5-2)*6=18
train/52.jpg,4*5+0=20
train/53.jpg,(6-8)+9=7
train/54.jpg,8*(6+5)=88
train/55.jpg,5+6-6=5
train/56.jpg,(0+5)+8=13
train/57.jpg,7-(7-8)=8
train/58.jpg,(0+8)*2=16
train/59.jpg,2-(4+0)=-2
train/60.jpg,(8-0)+9=17
train/61.jpg,1+(2*2)=5
train/62.jpg,3+5-2=6
train/63.jpg,9-4-5=0
train/64.jpg,(6+5)+5=16
train/65.jpg,6+7-9=4
train/66.jpg,3+(3-2)=4
train/67.jpg,8-(8+7)=-7
train/68.jpg,3+(2+5)=10
train/69.jpg,1+3*3=10
train/70.jpg,0*2-8=-8
train/71.jpg,1+(2-4)=-1
train/72.jpg,3-7+6=2
train/73.jpg,(3+4)-4=3
train/74.jpg,(0*7)+4=4
train/75.jpg,(3-2)+0=1
train/76.jpg,2-(5+4)=-7
train/77.jpg,6-3+8=11
train/78.jpg,1*(8*7)=56
train/79.jpg,3+(1*8)=11
train/80.jpg,3*8-2=22
train/81.jpg,1+9-0=10
train/82.jpg,(4+8)-3=9
train/83.jpg,(6-3)*6=18
train/84.jpg,(2*3)*9=54
train/85.jpg,9+3+7=19
train/86.jpg,8+(4+7)=19
train/87.jpg,(2-1)-0=1
train/88.jpg,5*(6-8)=-10
train/89.jpg,5+4+8=17
train/90.jpg,1+(6+3)=10
train/91.jpg,(3*0)-0=0
train/92.jpg,(0+6)-8=-2
train/93.jpg,0-(4*4)=-16
